geo_mun_s,cohort,eng_exp,hrs_exp
07094,1998,.0043600751,.16132277
07094,1999,.0034880601,.12905821
07094,2000,.0029067167,.10754851
07094,2001,.0029067167,.10754851
07094,2002,0,0
07096,1997,0,0
07096,1998,0,0
07096,1999,0,0
07096,2000,0,0
07096,2001,0,0
07096,2002,0,0
07097,1997,.0030765787,.0030765787
07097,1998,.0023074341,.0023074341
07097,1999,.011530832,.025150202
07097,2000,.014983931,.037083212
07097,2001,.019097866,.036414497
07097,2002,.019097866,.036414497
07098,1997,0,0
07098,1998,0,0
07098,1999,0,0
07098,2000,0,0
07098,2001,0,0
07098,2002,0,0
07099,1997,0,0
07099,1998,0,0
